#Redshift = 2.45e+00 Box = 2.50e+04 [kpc/h] VelScale = 2.53e+03 [km/s]
#x = 3.95e-01 y = 7.81e-02
#velocity [km/s], tau_HILya, tau_HeI584, tau_HeIILya, nHI [cm^-3], nHeII [cm^-3], Delta_b, T [K], xpos [Mpc/h], vpec [km/sec]
3.123e+01 1.990e+00 9.597e-03 8.911e+00 5.679e-13 5.679e-11 6.104e-01 1.088e+04 2.258e+03 -7.225e+01
3.208e+01 1.956e+00 8.245e-03 7.655e+00 5.924e-13 5.924e-11 6.331e-01 1.082e+04 2.267e+03 -7.259e+01
3.292e+01 1.932e+00 7.210e-03 6.694e+00 6.232e-13 6.232e-11 6.603e-01 1.079e+04 2.275e+03 -7.282e+01
3.377e+01 1.916e+00 6.472e-03 6.009e+00 6.557e-13 6.557e-11 6.875e-01 1.077e+04 2.283e+03 -7.293e+01
3.461e+01 1.910e+00 6.019e-03 5.588e+00 6.851e-13 6.851e-11 7.106e-01 1.075e+04 2.292e+03 -7.294e+01
3.545e+01 1.914e+00 5.847e-03 5.429e+00 7.091e-13 7.091e-11 7.279e-01 1.073e+04 2.300e+03 -7.287e+01
3.630e+01 1.928e+00 5.961e-03 5.535e+00 7.277e-13 7.277e-11 7.400e-01 1.069e+04 2.308e+03 -7.272e+01
3.714e+01 1.951e+00 6.375e-03 5.919e+00 7.416e-13 7.416e-11 7.479e-01 1.065e+04 2.317e+03 -7.251e+01
3.799e+01 1.983e+00 7.107e-03 6.599e+00 7.506e-13 7.506e-11 7.520e-01 1.061e+04 2.325e+03 -7.227e+01
3.883e+01 2.025e+00 8.187e-03 7.601e+00 7.550e-13 7.550e-11 7.525e-01 1.057e+04 2.333e+03 -7.201e+01
3.967e+01 2.076e+00 9.647e-03 8.957e+00 7.568e-13 7.568e-11 7.513e-01 1.054e+04 2.342e+03 -7.175e+01
4.052e+01 2.135e+00 1.153e-02 1.070e+01 7.592e-13 7.592e-11 7.512e-01 1.052e+04 2.350e+03 -7.151e+01
4.136e+01 2.203e+00 1.387e-02 1.287e+01 7.633e-13 7.633e-11 7.529e-01 1.051e+04 2.358e+03 -7.131e+01
4.221e+01 2.278e+00 1.671e-02 1.551e+01 7.681e-13 7.681e-11 7.550e-01 1.051e+04 2.367e+03 -7.116e+01
4.305e+01 2.360e+00 2.009e-02 1.866e+01 7.734e-13 7.734e-11 7.573e-01 1.052e+04 2.375e+03 -7.105e+01
4.389e+01 2.449e+00 2.406e-02 2.234e+01 7.801e-13 7.801e-11 7.605e-01 1.054e+04 2.383e+03 -7.097e+01
4.474e+01 2.543e+00 2.864e-02 2.659e+01 7.876e-13 7.876e-11 7.644e-01 1.056e+04 2.392e+03 -7.093e+01
4.558e+01 2.642e+00 3.385e-02 3.143e+01 7.948e-13 7.948e-11 7.683e-01 1.059e+04 2.400e+03 -7.091e+01
4.643e+01 2.745e+00 3.971e-02 3.687e+01 8.009e-13 8.009e-11 7.717e-01 1.061e+04 2.408e+03 -7.092e+01
4.727e+01 2.851e+00 4.621e-02 4.290e+01 8.054e-13 8.054e-11 7.745e-01 1.063e+04 2.417e+03 -7.096e+01
4.812e+01 2.959e+00 5.334e-02 4.952e+01 8.069e-13 8.069e-11 7.753e-01 1.064e+04 2.425e+03 -7.102e+01
4.896e+01 3.069e+00 6.107e-02 5.670e+01 8.050e-13 8.050e-11 7.732e-01 1.064e+04 2.433e+03 -7.112e+01
4.980e+01 3.179e+00 6.936e-02 6.439e+01 8.014e-13 8.014e-11 7.696e-01 1.064e+04 2.442e+03 -7.126e+01
5.065e+01 3.288e+00 7.815e-02 7.256e+01 8.000e-13 8.000e-11 7.675e-01 1.062e+04 2.450e+03 -7.141e+01
5.149e+01 3.396e+00 8.740e-02 8.114e+01 8.034e-13 8.034e-11 7.690e-01 1.060e+04 2.458e+03 -7.159e+01
5.234e+01 3.501e+00 9.701e-02 9.006e+01 8.118e-13 8.118e-11 7.738e-01 1.058e+04 2.467e+03 -7.176e+01
5.318e+01 3.603e+00 1.069e-01 9.925e+01 8.242e-13 8.242e-11 7.808e-01 1.056e+04 2.475e+03 -7.192e+01
5.402e+01 3.701e+00 1.170e-01 1.086e+02 8.406e-13 8.406e-11 7.903e-01 1.055e+04 2.483e+03 -7.203e+01
5.487e+01 3.793e+00 1.271e-01 1.180e+02 8.580e-13 8.580e-11 7.996e-01 1.055e+04 2.492e+03 -7.211e+01
5.571e+01 3.879e+00 1.373e-01 1.275e+02 8.725e-13 8.725e-11 8.056e-01 1.055e+04 2.500e+03 -7.214e+01
5.656e+01 3.958e+00 1.472e-01 1.367e+02 8.800e-13 8.800e-11 8.053e-01 1.058e+04 2.508e+03 -7.213e+01
5.740e+01 4.030e+00 1.569e-01 1.457e+02 8.783e-13 8.783e-11 7.973e-01 1.060e+04 2.517e+03 -7.209e+01
5.824e+01 4.094e+00 1.661e-01 1.542e+02 8.680e-13 8.680e-11 7.827e-01 1.064e+04 2.525e+03 -7.203e+01
5.909e+01 4.149e+00 1.747e-01 1.622e+02 8.488e-13 8.488e-11 7.617e-01 1.067e+04 2.533e+03 -7.194e+01
5.993e+01 4.194e+00 1.825e-01 1.694e+02 8.198e-13 8.198e-11 7.337e-01 1.068e+04 2.542e+03 -7.184e+01
